canonical_name,classification,paper_count,pct_of_papers,idf_score,graph_contribution,proposed_weight
Large Language Models,GENERIC,9,9.0,2.408,36,0.75
Multilayer perceptrons,GENERIC,7,7.0,2.659,21,0.75
Transformers,GENERIC,7,7.0,2.659,21,0.75
Diffusion Models,GENERIC,6,6.0,2.813,15,0.75
Chain-of-Thought,GENERIC,5,5.0,2.996,10,0.75
Graph convolutional network,GENERIC,5,5.0,2.996,10,0.75
Stochastic gradient descent,GENERIC,5,5.0,2.996,10,0.75
AdamW optimizer,SHARED,4,4.0,3.219,6,3.00
GPT-4,SHARED,4,4.0,3.219,6,3.00
In-context learning,SHARED,4,4.0,3.219,6,3.00
LoRA,SHARED,4,4.0,3.219,6,3.00
Proximal Policy Optimization,SHARED,4,4.0,3.219,6,3.00
ResNet,SHARED,4,4.0,3.219,6,3.00
Chain-of-Thought prompting,SHARED,3,3.0,3.507,3,3.00
Direct Preference Optimization,SHARED,3,3.0,3.507,3,3.00
Gradient descent,SHARED,3,3.0,3.507,3,3.00
Graph Neural Networks,SHARED,3,3.0,3.507,3,3.00
Llama-2,SHARED,3,3.0,3.507,3,3.00
Normalizing flows,SHARED,3,3.0,3.507,3,3.00
Optimal transport,SHARED,3,3.0,3.507,3,3.00
Principal component analysis (PCA),SHARED,3,3.0,3.507,3,3.00
Reinforcement learning,SHARED,3,3.0,3.507,3,3.00
Autoencoders,SPECIALIZED,2,2.0,3.912,1,6.00
CodeLlama,SPECIALIZED,2,2.0,3.912,1,6.00
Convolutional neural network (CNN),SPECIALIZED,2,2.0,3.912,1,6.00
Cross-entropy loss,SPECIALIZED,2,2.0,3.912,1,6.00
Deep Reinforcement Learning,SPECIALIZED,2,2.0,3.912,1,6.00
Dynamic programming,SPECIALIZED,2,2.0,3.912,1,6.00
Empirical risk minimization,SPECIALIZED,2,2.0,3.912,1,6.00
Generative models,SPECIALIZED,2,2.0,3.912,1,6.00
LLaMA,SPECIALIZED,2,2.0,3.912,1,6.00
Language models,SPECIALIZED,2,2.0,3.912,1,6.00
Latent diffusion models,SPECIALIZED,2,2.0,3.912,1,6.00
Linear probing,SPECIALIZED,2,2.0,3.912,1,6.00
Linear programming,SPECIALIZED,2,2.0,3.912,1,6.00
Markov Decision Process,SPECIALIZED,2,2.0,3.912,1,6.00
Mistral-7B,SPECIALIZED,2,2.0,3.912,1,6.00
Monte Carlo Tree Search,SPECIALIZED,2,2.0,3.912,1,6.00
Multi-Agent Reinforcement Learning,SPECIALIZED,2,2.0,3.912,1,6.00
Neural networks,SPECIALIZED,2,2.0,3.912,1,6.00
Sinkhorn algorithm,SPECIALIZED,2,2.0,3.912,1,6.00
Stable Diffusion,SPECIALIZED,2,2.0,3.912,1,6.00
Supervised fine-tuning,SPECIALIZED,2,2.0,3.912,1,6.00
Supervised learning,SPECIALIZED,2,2.0,3.912,1,6.00
Taylor expansion,SPECIALIZED,2,2.0,3.912,1,6.00
Transformer architecture,SPECIALIZED,2,2.0,3.912,1,6.00
U-Net,SPECIALIZED,2,2.0,3.912,1,6.00
Vision Transformers,SPECIALIZED,2,2.0,3.912,1,6.00
classifier-free guidance,SPECIALIZED,2,2.0,3.912,1,6.00
k-means++,SPECIALIZED,2,2.0,3.912,1,6.00
$\Phi$-equilibria,SPECIALIZED,1,1.0,4.605,0,6.00
$\Phi$-equilibrium,SPECIALIZED,1,1.0,4.605,0,6.00
1-Lipschitz neural networks,SPECIALIZED,1,1.0,4.605,0,6.00
1-layer linear attention,SPECIALIZED,1,1.0,4.605,0,6.00
