canonical_name,entity_type,unique_papers,total_rows,variant_count,is_singleton,normalization_issue,raw_variants
Large Language Models,Unknown,9,11,4,False,True,LLMs | Large Language Models | Large language models | large language models
Transformers,Unknown,7,11,7,False,True,GPT-like transformers | GPT-style transformers | Transformer language models | Transformer models | Transformers | transformer models | transformers
Diffusion Models,Architecture,5,6,3,False,False,Diffusion Models | Diffusion models | diffusion models
AdamW optimizer,Optimizer,3,3,2,False,False,AdamW | AdamW optimizer
In-context learning,Technique,3,4,2,False,False,In-context learning | in-context learning
Chain-of-Thought,Unknown,2,2,2,False,False,Chain-of-Thought | Chain-of-thought
Cross-entropy loss,Metric,2,4,2,False,False,Cross-entropy loss | cross-entropy loss
Direct preference optimization,Unknown,2,2,1,False,False,Direct preference optimization
Generative models,Unknown,2,2,1,False,False,generative models
Gradient descent,Optimizer,2,4,2,False,False,Gradient descent | gradient descent
LLaMA,Model,2,2,1,False,False,LLaMA
Language models,Unknown,2,2,2,False,False,Language models | language models
Markov Decision Process,Unknown,2,2,2,False,False,Markov Decision Process | Markov decision process
Monte Carlo Tree Search,Algorithm,2,3,2,False,False,MCTS | Monte Carlo Tree Search
Multi-Agent Reinforcement Learning,Technique,2,3,3,False,False,MARL | Multi-Agent Reinforcement Learning | multi-agent reinforcement learning
Neural networks,Unknown,2,2,2,False,False,Neural networks | neural networks
Optimal transport,Algorithm,2,2,2,False,False,Optimal transport | optimal transport
Reinforcement learning,Technique,2,3,2,False,False,Reinforcement learning | reinforcement learning
Stochastic gradient descent,Optimizer,2,4,2,False,False,Stochastic gradient descent | stochastic gradient descent
$\Phi$-equilibria,Unknown,1,1,1,True,False,$\Phi$-equilibria
1-Lipschitz neural networks,Unknown,1,1,1,True,False,1-Lipschitz neural networks
2D-CNN,Architecture,1,1,1,True,False,2D-CNN
3D-CNN,Architecture,1,1,1,True,False,3D-CNN
AID,Unknown,1,1,1,True,False,AID
APIBench,Unknown,1,1,1,True,False,APIBench
AST Sub-Tree Matching,Unknown,1,2,2,True,False,AST Sub-Tree Matching | AST sub-tree matching
Abstract Syntax Tree,Unknown,1,1,1,True,False,Abstract Syntax Tree
Abstract Syntax Tree sub-tree matching,Unknown,1,1,1,True,False,Abstract Syntax Tree sub-tree matching
ActAnywhere,Unknown,1,1,1,True,False,ActAnywhere
Activation addition,Unknown,1,2,2,True,False,Activation addition | activation addition
AdaGrad stepsizes,Optimizer,1,1,1,True,False,AdaGrad stepsizes
Adam,Optimizer,1,1,1,True,False,Adam
Adaptive learning algorithms,Technique,1,1,1,True,False,Adaptive learning algorithms
Adversarial CVaR evaluation,Unknown,1,1,1,True,False,Adversarial CVaR evaluation
Adversarial training,Technique,1,1,1,True,False,Adversarial training
Algebraic circuits,Unknown,1,1,1,True,False,Algebraic circuits
AlphaLLM,Model,1,2,2,True,False,ALPHALLM | AlphaLLM
Alternating Least Squares algorithm,Unknown,1,2,2,True,False,Alternating Least Squares (ALS) algorithm | Alternating Least Squares algorithm
